process,process,process,process,process,process,process,process,process,process,process,process,process,process,process,sensor,sensor,sensor,sensor,sensor,sensor,sensor,sensor,sensor,sensor,sensor,sensor,sensor,sensor,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defect_flag
20,0.158,0.164,0.205,2.7,264,0.014,18,355,36.3,0.041,594,12.5,2.0,2.2,671.2,6.1,3,9,26.2,10,50,2.71,33.9,18.0,22.0,56.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.158,0.164,0.205,2.7,264,0.014,18,355,36.3,0.041,594,12.5,2.0,2.2,670.1,6.0,3,9,26.2,10,50,2.69,33.9,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.142,0.162,0.206,2.698,264,0.012,19,357,36.4,0.041,595,12.5,2.0,2.2,670.1,6.0,3,9,26.2,10,50,2.69,33.9,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.147,0.174,0.205,2.694,264,0.009,20,357,36.4,0.041,595,12.5,2.0,2.2,668.7,6.0,3,9,26.2,10,50,2.71,33.9,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.152,0.17,0.206,2.691,264,0.011,19,357,36.5,0.042,595,12.5,2.0,2.2,668.7,6.0,3,9,26.2,10,50,2.71,33.9,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.15,0.168,0.21,2.705,264,0.011,20,357,36.4,0.042,595,12.4,2.0,2.2,667.0,5.9,3,9,26.2,10,50,2.71,33.8,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.157,0.168,0.216,2.691,264,0.012,20,357,36.4,0.044,594,12.4,2.0,2.2,665.9,5.8,3,9,26.2,10,50,2.7,33.8,18.0,22.0,56.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.157,0.166,0.21,2.713,265,0.012,19,359,36.4,0.041,595,12.4,2.0,2.2,665.9,5.8,3,9,26.2,10,50,2.7,33.8,18.0,22.0,56.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.157,0.17,0.204,2.724,265,0.011,19,361,36.4,0.041,595,12.4,2.0,2.2,665.4,5.8,3,9,26.2,10,50,2.71,33.7,18.0,22.0,56.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.146,0.162,0.198,2.722,265,0.011,18,359,36.4,0.042,595,12.4,2.0,2.2,665.4,5.8,3,9,26.2,10,50,2.71,33.7,18.0,22.0,56.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.158,0.162,0.206,2.727,264,0.011,16,348,36.4,0.041,594,12.4,2.0,2.2,664.5,5.7,3,9,26.2,10,50,2.7,33.8,18.0,22.0,55.9,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.152,0.164,0.203,2.724,264,0.014,18,348,36.4,0.041,595,12.4,2.0,2.2,664.4,5.6,3,9,26.2,10,50,2.7,33.8,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.16,0.172,0.204,2.698,264,0.012,17,348,36.3,0.042,594,12.2,2.0,2.0,664.4,5.6,3,9,26.2,10,50,2.7,33.8,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.152,0.168,0.206,2.722,265,0.013,16,357,36.1,0.042,595,12.2,2.0,2.0,664.5,5.6,3,9,26.2,10,50,2.67,33.7,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.158,0.17,0.21,2.695,264,0.012,18,357,36.3,0.041,594,12.2,2.0,2.0,664.5,5.6,3,9,26.2,10,50,2.67,33.7,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.156,0.174,0.2,2.709,264,0.011,18,359,36.1,0.043,594,12.2,2.0,2.0,664.7,5.6,3,9,26.2,10,50,2.7,33.7,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.158,0.162,0.2,2.715,264,0.011,18,357,36.2,0.042,594,12.2,2.0,2.0,665.2,5.5,3,9,26.2,10,50,2.7,33.7,18.0,22.0,55.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.146,0.163,0.208,2.719,265,0.012,19,359,36.2,0.042,595,12.2,2.0,2.0,665.2,5.5,3,9,26.2,10,50,2.7,33.7,18.0,22.0,55.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.15,0.172,0.196,2.694,264,0.012,18,359,36.3,0.042,594,12.2,2.0,2.0,666.0,5.5,3,9,26.2,10,50,2.68,33.6,18.0,22.0,55.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.149,0.168,0.21,2.729,264,0.012,18,357,36.6,0.041,594,12.7,2.0,2.5,666.3,5.5,3,9,26.1,10,50,2.67,33.4,18.0,22.0,55.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.158,0.168,0.212,2.703,264,0.012,18,359,36.7,0.042,595,12.7,2.0,2.5,666.3,5.5,3,9,26.1,10,50,2.67,33.4,18.0,22.0,55.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.15,0.17,0.208,2.716,264,0.011,17,359,36.6,0.04,594,12.7,2.0,2.5,666.5,5.4,3,9,26.1,10,50,2.69,33.4,18.0,22.0,55.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.154,0.164,0.206,2.733,264,0.012,17,359,36.6,0.042,594,12.7,2.0,2.5,666.5,5.4,3,9,26.1,10,50,2.69,33.4,18.0,22.0,55.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.156,0.166,0.192,2.726,264,0.012,17,348,36.6,0.042,594,12.7,2.0,2.5,666.1,5.4,3,9,26.2,10,50,2.71,33.4,18.0,22.0,55.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.16,0.162,0.205,2.72,264,0.01,16,350,36.5,0.042,595,12.7,2.0,2.5,665.5,5.5,3,9,26.2,10,50,2.69,33.4,18.0,22.0,55.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.157,0.16,0.206,2.73,265,0.011,17,352,36.6,0.042,596,12.7,2.0,2.5,665.5,5.5,3,9,26.2,10,50,2.69,33.4,18.0,22.0,55.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.157,0.16,0.206,2.73,265,0.011,17,352,36.6,0.042,596,12.7,2.0,2.5,664.8,5.6,3,9,26.2,10,50,2.68,33.3,18.0,22.0,55.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.152,0.172,0.206,2.73,264,0.011,16,361,36.5,0.042,594,12.7,2.0,2.5,664.8,5.6,3,9,26.2,10,50,2.68,33.3,18.0,22.0,55.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.158,0.172,0.208,2.711,264,0.012,17,363,36.6,0.04,595,12.7,2.0,2.5,664.4,5.7,3,9,26.2,10,50,2.71,33.3,18.0,22.0,55.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.155,0.165,0.21,2.73,264,0.012,17,355,36.7,0.041,595,12.7,2.0,2.5,664.2,5.8,3,9,26.2,10,50,2.68,33.3,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.155,0.165,0.21,2.73,264,0.012,17,355,36.7,0.041,595,12.7,2.0,2.5,664.2,5.8,3,9,26.2,10,50,2.68,33.3,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.162,0.166,0.208,2.744,264,0.012,16,355,36.7,0.041,594,12.7,2.0,2.5,663.9,5.8,3,9,26.2,10,50,2.69,33.4,18.0,22.0,55.9,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.15,0.164,0.206,2.702,264,0.012,15,355,36.7,0.04,595,12.7,2.0,2.5,664.2,5.9,3,9,26.2,10,50,2.7,33.5,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.156,0.164,0.195,2.696,264,0.012,16,355,37.0,0.041,594,13.0,2.5,2.7,664.2,5.9,3,9,26.2,10,50,2.7,33.5,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.158,0.168,0.202,2.723,264,0.011,14,355,37.1,0.04,594,13.0,2.5,2.7,664.3,6.0,3,9,26.2,10,50,2.69,33.7,18.0,22.0,55.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.158,0.162,0.202,2.71,264,0.011,14,355,37.0,0.04,595,13.0,2.5,2.7,664.3,6.0,3,9,26.2,10,50,2.69,33.7,18.0,22.0,55.6,18.0,22.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
56,0.156,0.163,0.205,2.723,264,0.012,16,355,37.1,0.04,594,13.0,2.5,2.7,664.1,6.1,3,9,26.2,10,50,2.68,33.8,18.0,22.0,55.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.16,0.174,0.197,2.706,264,0.012,16,355,37.1,0.04,595,13.0,2.5,2.7,663.7,6.2,3,9,26.2,10,50,2.68,33.9,18.0,22.0,55.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.158,0.168,0.21,2.687,264,0.012,17,355,37.0,0.04,594,13.0,2.5,2.7,663.7,6.2,3,9,26.2,10,50,2.68,33.9,18.0,22.0,55.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.147,0.162,0.196,2.718,265,0.012,18,357,37.0,0.042,595,13.0,2.5,2.7,663.6,6.4,3,9,26.2,10,50,2.69,33.9,18.0,22.0,55.1,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.147,0.162,0.196,2.718,265,0.012,18,357,37.0,0.042,595,13.0,2.5,2.7,663.6,6.4,3,9,26.2,10,50,2.69,33.9,18.0,22.0,55.1,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.146,0.17,0.202,2.702,264,0.012,15,357,37.0,0.04,595,13.0,2.5,2.7,663.6,6.5,3,9,26.2,10,50,2.68,34.0,18.0,22.0,54.9,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.158,0.171,0.204,2.696,264,0.011,18,357,37.1,0.042,594,13.0,2.5,2.7,663.5,6.6,3,9,26.3,10,50,2.7,34.1,18.0,22.0,54.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.155,0.164,0.202,2.697,264,0.011,16,359,37.0,0.04,595,13.0,2.5,2.7,663.5,6.6,3,9,26.3,10,50,2.7,34.1,18.0,22.0,54.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.16,0.162,0.202,2.723,264,0.012,17,359,37.0,0.042,595,13.0,2.5,2.7,663.6,6.6,3,9,26.3,10,50,2.68,34.1,18.0,22.0,54.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.15,0.173,0.204,2.689,264,0.011,19,355,37.0,0.04,595,13.1,2.5,2.7,663.6,6.6,3,9,26.3,10,50,2.68,34.1,18.0,22.0,54.6,18.0,22.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
66,0.16,0.162,0.2,2.699,264,0.01,16,359,37.0,0.04,594,13.1,2.5,2.7,663.5,6.6,3,9,26.3,10,50,2.68,34.1,18.0,22.0,54.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
67,0.155,0.17,0.208,2.715,264,0.011,17,359,37.0,0.041,595,13.1,2.5,2.7,663.2,6.6,3,9,26.3,10,50,2.68,34.1,18.0,22.0,54.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.158,0.171,0.204,2.715,264,0.011,17,361,37.0,0.039,595,13.1,2.5,2.7,663.2,6.6,3,9,26.3,10,50,2.68,34.1,18.0,22.0,54.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0.157,0.178,0.203,2.713,264,0.012,16,348,37.0,0.04,594,13.0,2.5,2.7,662.5,6.6,3,9,26.3,10,50,2.7,34.1,18.0,22.0,54.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.156,0.166,0.21,2.707,264,0.011,16,350,37.0,0.04,595,13.0,2.5,2.7,662.5,6.6,3,9,26.2,10,50,2.69,34.1,18.0,22.0,54.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0.154,0.168,0.196,2.716,264,0.012,17,350,37.0,0.039,594,13.0,2.5,2.7,662.5,6.6,3,9,26.2,10,50,2.69,34.1,18.0,22.0,54.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0.154,0.17,0.206,2.729,264,0.012,18,361,37.0,0.042,595,13.0,2.5,2.7,661.6,6.6,3,9,26.3,10,50,2.69,34.1,18.0,22.0,54.9,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0.16,0.168,0.206,2.713,264,0.011,18,361,37.0,0.041,595,13.0,2.5,2.7,661.6,6.6,3,9,26.3,10,50,2.69,34.1,18.0,22.0,54.9,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0.15,0.166,0.205,2.691,264,0.011,18,361,37.0,0.04,594,13.0,2.5,2.7,661.4,6.6,3,9,26.3,10,50,2.71,34.2,18.0,22.0,54.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0.157,0.168,0.214,2.722,264,0.012,18,352,36.9,0.042,594,13.0,2.5,2.7,661.4,6.6,3,9,26.3,10,50,2.68,34.2,18.0,22.0,54.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.155,0.17,0.204,2.7,264,0.011,18,354,36.9,0.04,594,13.0,2.5,2.7,661.4,6.6,3,9,26.3,10,50,2.68,34.2,18.0,22.0,54.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.158,0.162,0.206,2.709,264,0.012,20,357,37.0,0.041,594,13.1,2.5,2.7,663.2,6.7,3,9,26.3,10,50,2.71,34.3,18.0,22.0,54.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.154,0.17,0.198,2.72,264,0.012,19,359,37.0,0.041,594,13.1,2.5,2.7,663.9,6.7,3,9,26.3,10,50,2.7,34.4,18.0,22.0,54.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.157,0.174,0.203,2.71,264,0.012,19,359,37.0,0.041,594,13.1,2.5,2.7,664.7,6.6,3,9,26.3,10,50,2.71,34.4,18.0,22.0,54.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0.141,0.166,0.212,2.714,264,0.012,17,359,37.0,0.04,594,13.0,2.5,2.7,664.7,6.6,3,9,26.3,10,50,2.71,34.4,18.0,22.0,54.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.15,0.17,0.214,2.71,264,0.012,19,348,37.0,0.042,595,13.1,2.5,2.7,665.5,6.6,3,9,26.3,10,50,2.71,34.5,18.0,22.0,54.1,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.154,0.17,0.206,2.693,264,0.011,19,348,37.0,0.039,595,13.0,2.5,2.7,666.2,6.6,3,9,26.3,10,50,2.71,34.5,18.0,22.0,53.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.148,0.166,0.19,2.691,264,0.011,19,350,36.9,0.043,594,13.0,2.5,2.7,666.2,6.6,3,9,26.3,10,50,2.71,34.5,18.0,22.0,53.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.158,0.172,0.197,2.697,264,0.011,19,364,37.0,0.042,595,13.0,2.5,2.7,666.7,6.6,3,9,26.3,10,50,2.71,34.6,18.0,22.0,53.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.162,0.16,0.212,2.711,264,0.012,19,364,37.0,0.041,595,13.0,2.5,2.7,666.7,6.6,3,9,26.3,10,50,2.71,34.6,18.0,22.0,53.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0.162,0.16,0.212,2.711,264,0.012,19,364,37.0,0.041,595,13.0,2.5,2.7,667.4,6.6,3,9,26.3,10,50,2.72,34.7,18.0,22.0,53.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.139,0.164,0.206,2.696,264,0.012,16,357,37.0,0.04,595,13.0,2.5,2.7,668.1,6.6,3,9,26.4,10,50,2.7,34.7,18.0,22.0,53.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0.155,0.172,0.21,2.726,264,0.011,17,357,37.0,0.042,594,13.0,2.5,2.7,668.1,6.6,3,9,26.4,10,50,2.7,34.7,18.0,22.0,53.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0.156,0.174,0.214,2.717,264,0.011,18,359,37.0,0.042,594,13.0,2.5,2.7,668.9,6.6,3,9,26.4,10,50,2.72,34.7,18.0,22.0,53.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0.156,0.174,0.214,2.717,264,0.011,18,359,37.0,0.042,594,13.0,2.5,2.7,668.9,6.6,3,9,26.4,10,50,2.72,34.7,18.0,22.0,53.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0.16,0.17,0.2,2.724,264,0.014,17,359,37.0,0.041,594,13.0,2.5,2.7,669.3,6.7,3,9,26.4,10,50,2.72,34.7,18.0,22.0,52.9,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0.162,0.176,0.21,2.693,264,0.011,16,359,37.0,0.039,594,13.0,2.5,2.7,669.7,6.6,3,9,26.4,10,50,2.7,34.7,18.0,22.0,52.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0.154,0.164,0.212,2.72,264,0.014,15,350,37.0,0.041,594,13.0,2.5,2.7,669.7,6.6,3,9,26.4,10,50,2.7,34.7,18.0,22.0,52.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.158,0.168,0.213,2.69,264,0.014,15,354,37.0,0.041,595,13.0,2.5,2.7,670.4,6.6,3,9,26.4,10,50,2.7,34.6,18.0,22.0,53.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.152,0.16,0.196,2.711,264,0.012,15,363,37.0,0.04,594,13.0,2.5,2.7,670.8,6.6,3,9,26.4,10,50,2.7,34.6,18.0,22.0,53.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.154,0.168,0.204,2.713,264,0.011,17,364,37.0,0.042,595,13.0,2.5,2.7,670.8,6.6,3,9,26.4,10,50,2.7,34.6,18.0,22.0,53.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.162,0.162,0.206,2.67,265,0.012,17,363,37.0,0.041,595,13.0,2.5,2.7,671.2,6.6,3,9,26.4,10,50,2.7,34.7,18.0,22.0,53.1,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0.157,0.163,0.204,2.705,264,0.012,17,355,36.9,0.039,595,13.0,2.5,2.7,671.2,6.6,3,9,26.4,10,50,2.7,34.7,18.0,22.0,53.1,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0.154,0.16,0.21,2.708,264,0.013,18,357,36.9,0.042,595,13.0,2.5,2.7,671.1,6.6,3,9,26.4,10,50,2.72,34.7,18.0,22.0,52.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0.16,0.168,0.205,2.719,264,0.012,15,355,36.9,0.04,595,13.0,2.5,2.7,670.6,6.5,3,9,26.4,10,50,2.69,34.7,18.0,22.0,52.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.155,0.17,0.212,2.723,265,0.012,17,355,36.9,0.041,595,13.1,2.5,2.7,670.6,6.5,3,9,26.4,10,50,2.69,34.7,18.0,22.0,52.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.15,0.165,0.208,2.729,264,0.011,15,355,36.9,0.04,595,13.0,2.5,2.7,670.0,6.5,3,9,26.4,10,50,2.72,34.7,18.0,22.0,52.5,18.0,22.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
106,0.16,0.168,0.208,2.701,264,0.012,17,355,36.8,0.04,595,13.0,2.5,2.7,670.0,6.5,3,9,26.4,10,50,2.72,34.7,18.0,22.0,52.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0.148,0.16,0.206,2.727,264,0.012,16,355,36.9,0.042,595,13.0,2.5,2.7,668.7,6.4,3,9,26.4,10,50,2.72,34.7,18.0,22.0,52.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.15,0.174,0.202,2.709,264,0.012,18,355,37.0,0.04,595,13.0,2.5,2.7,667.5,6.4,3,9,26.4,10,50,2.7,34.6,18.0,22.0,52.5,18.0,22.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
109,0.152,0.166,0.2,2.713,264,0.011,16,357,37.0,0.04,595,13.0,2.5,2.7,667.5,6.4,3,9,26.4,10,50,2.7,34.6,18.0,22.0,52.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.16,0.171,0.208,2.693,264,0.011,16,357,37.0,0.04,594,13.0,2.5,2.7,665.8,6.4,3,9,26.4,10,50,2.72,34.5,18.0,22.0,52.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0.154,0.168,0.198,2.72,264,0.012,17,357,37.0,0.041,595,13.0,2.5,2.7,664.4,6.4,3,9,26.4,10,50,2.7,34.4,18.0,22.0,52.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0.158,0.168,0.204,2.715,264,0.012,17,357,37.0,0.041,595,13.0,2.5,2.7,664.4,6.4,3,9,26.4,10,50,2.7,34.4,18.0,22.0,52.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
